,author,comment,origin,origin_status,Unnamed: 0,lang,time_stamps
37527,Rex Alex,"0:44 seconds I hear a small voice saying ""heart""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
37555,AlessiaNotFound,Lil fact: the support voice from 2:14 to 3:00 is harrys styles (i don't know if the timing is right but u get it),Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:14', '3:00']"
37566,SayCozy X,0:43 best part of the song❤❤❤,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
37676,Duda giardina,Quem aí brasileiro 2020 dia 31 de julho que eu estou escrevendo isso 12:47 da noite quarentena covid 19 meu nome é Maria Eduarda tenho 12 anos moro rio de janeiro curica eu espero que a covid já tenha passado eu sou sed💖❤,Ed_Sheeran-Thinking_Out_Loud,1,,pt,['12:47']
37706,Melaure Angellie,0:45 Heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
37828,Junie Burce,00:45 hart❤,Ed_Sheeran-Thinking_Out_Loud,1,,sv,['00:45']
37832,Nora de Zabala,2:40-5:30 Harry is doing the supporting vocals 🥰,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:40', '5:30']"
37863,sxturnx //,listen closely to 0:45. 😰,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
37867,John Kyle Beauchamp,Am I the only one who heared a voice of a child on 0:45? Saying Heart?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
37871,Psalm Dizon,"wtf i just saw a post saying that there's a ghost in the ""and baby my HEART"" (0:45) and i fucking heard it....it instantly gave me the chills....damn people what is wrong with y'all",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
37905,Felicinacht,Hey listen to 0:42 There's a 'hard'with a kids voice.,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:42']
37906,jannah quinivista,2:40 is harry in the background i think😻,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:40']
37913,Zenazn Me,skip on 0:45 and use earphones. thank me later🙂,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
37941,Lader Vasquez,"CADA LIKE SE REPRODUCIRÁ OTRA VEZ
EVERY LIKE WILL BE PLAYED AGAIN
 0:00 ●━━━━━━─────── 4:56
⇆ㅤㅤㅤㅤ◁ㅤㅤ❚❚ㅤㅤ▷",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:00', '4:56']"
37955,Sofia Dy,0:45 may sumabay na bata sa kanta hindi sa sayaw,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:45']
37967,Gelay Taganile,Am i the only one heard a kid saying heart 0:44,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
37968,Gelay Taganile,0:44 when ed said heart theres a kid saying heart tooooooo wtf,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
37988,Angela Martinez,"Ed broke his back in minute 3:03... Don´t be so hard on him...he did his best, and I love this song!",Ed_Sheeran-Thinking_Out_Loud,1,,en,['3:03']
37994,HateHates Hades,0:43 .. it's 12am here.. omg goosebumps,Ed_Sheeran-Thinking_Out_Loud,1,,af,['0:43']
38077,Nursidah Hashim,0:45 hear it clearly,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38115,Kamalpreet Singh,"3:02 
so am i the only one who get chills everytime he stresses on ‘Baby Now’",Ed_Sheeran-Thinking_Out_Loud,1,,en,['3:02']
38116,The Majorama,"Ed sheeran:
Dancer:
Camera man:
No one:
Ghost kid who sang with Ed Sheeran: Hhart 0:43",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
38128,𝕳𝖔𝖕𝖍𝖏𝖆⋆,listen carefully at 0:45 there is a kid saying heart use headphones,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38131,MisterYosi TV,"0:40 - 0:45 there is something creepy about this listen carefully at ""baby my heart""",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:40', '0:45']"
38145,Jenn,the dance move she does at 2:35 is amazing! love this song,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:35']
38160,Danny Devito Is Sans,2:08  k a r s,Ed_Sheeran-Thinking_Out_Loud,1,,hu,['2:08']
38174,kaylen silva,Did anyone noticed that at 0:45 theres a voice!?!?!,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38200,Yan Chen,2:08 Is that a JoJo reference?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:08']
38221,Ary 99,0:45 kid voice?,Ed_Sheeran-Thinking_Out_Loud,1,,sl,['0:45']
38223,Amy Harris,Fun fact: Harry Styles sings backup vocals in this song at 2:30 - 3:30,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:30']"
38229,Sgfbhrn 01,menitb 0:44 second,Ed_Sheeran-Thinking_Out_Loud,1,,it,['0:44']
38231,Okidokido,"0:45 Did you hear it 
So Creepy its like a little kid says heart!!!
Like if you hear it😱😱😱",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38237,realjesun reyes,WHAT IS THAT CREEPY SOUND ? 0:45,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38290,MELINDA,3:02 I'M DEAD,Ed_Sheeran-Thinking_Out_Loud,1,,id,['3:02']
38341,hajushii,"0:45 theres a kid voice after hes saying ""heart"" listen carefully",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38349,RenRennnn,"There's a child saying ""heart"" at 0:45",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38406,John Emman Bayson,0:45 Memories Bring Back Memories Bring Back You,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38419,Olivia Rose,Came here after someone says that harry styles sing backing vocal at 2:40,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:40']
38499,Adi albaar,0:48 listen in headshet there was kid say heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:48']
38500,HD eagle,00:45 heartt.....👻👻,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
38568,Iqbal Pratama,"0:45 like someone is repeating the word ""heart""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38590,Riz,"0:45 When Ed said ""Heart"" There's a littlr kid said Hert too I just Heard it again HAHAHAHAH",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38750,Oihana Garcia Silva,People say that the background vocals on the 2:30 to 3:30 minute is Harry Styles. OMG,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:30']"
38751,Simarpreet Girn,HARRY STYLES DID BACKUP VOCALS FROM 2:30 to 3:20 I WANNA CRY HOW DID I JUST FIND THIS OUT,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:20']"
38767,Matt Daniel Pagcaliwagan,Does anyone hear the girl saying heart? 0:40-0:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:40', '0:50']"
38770,Genesis Ramos,"0:45 , listen carefully",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38854,Estelle Heuchamps,The fact that Harry Styles is the supporting vocals from 2:30 to 3:50 makes me love this song even more,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
38935,thatslouis,0:47 did yall hear that creepy baby voice???!,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:47']
38953,Efryan Rizqi,"Please hear in the 00:45 children say heart , u can hear ?",Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
38961,Bryz Jose,"0:45 please listen to the word ""heart"" i think there's a voice of a kid",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
38968,strawbaby 6182,"Nobody:
Yoonbum: 0:09",Ed_Sheeran-Thinking_Out_Loud,1,,cy,['0:09']
38977,Franchesca Caumeran,Fun fact: Harry Styles is a supporting vocal from 2:30-3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39009,Mallory Schoenberg,Guys from 2:30-3:50 Harry is singing the backup vocals ...,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39069,Nostalgical indonesia,0:44 a sound of a child horror,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
39088,Megan Cant Hear You,guys can u hear at  0:45 i hear some girl follow ed sheraan when he say ''heart'' but the girl  voice is so tiny,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39147,F baby,"Guys in 0:45 if you closely listen there’s voice of a little girl 
Said : Hurt 
I swear to GOD, Please let me know if you hear too
It’s creepy 😑",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39181,An Chill,"0:58 мне одной эта часть звучит очень очень похоже, будто Эд Ширан начнет вытягивать слово вроде misteriou-ou-ou-ous? Лично мне да, так что если найдется кто-то кому тоже это показалось знакомым и кто знает на что именно, можете написать название этой песни? Я не могу успокоится пока не найду ее. Кстати, возможно это тоже песня этого исполнителя.
(This comment in English using Google Translate because I need more people to understand what I just texted😩)
0:58 to me alone does this part sound very much like Ed Sheeran will start pulling out a word like misteriou-ou-ou-ous? Personally, yes, so if there is someone to whom it also seemed familiar and who knows what exactly, can you write the name of this song? I can’t calm down until I find it. By the way, maybe this is also the song of this artist.",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:58', '0:58']"
39192,Alaska /// 88,0:44 Who come to hear the secret child sound?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
39193,Cvetytto Sotirowa,01:58 WE WILL NEVER FORGET YOUR NAME!,Ed_Sheeran-Thinking_Out_Loud,1,,en,['01:58']
39251,Dianaross Maquiniana,0:45 i think i heard a ghost voice hmmm🤔,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39271,Latia Dakota,If anyone is wondering “where is Harry’s voice” it’s at 2:40 put ur phone real close to ur ear and you can hear him,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:40']
39294,Riny Palimbong,"DID U GUYS REALIZED THERE'S A RANDOM VOICE AT 00:45 AFTER THE WORD 'HEART', THEN COMES A DIFFERENT 'HEART' SOUND, it sounds like it's tired.. and false :v but it's not ed sheeran tho..",Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
39302,Emi J.J. Mañalas,"00:44
0.25x 😓",Ed_Sheeran-Thinking_Out_Loud,1,,so,['00:44']
39316,"Bitoon, John Walter",0:45 TF,Ed_Sheeran-Thinking_Out_Loud,1,,vi,['0:45']
39324,Rahmat,0:45 creepy,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39331,Axcelline,0:45 heart a kid,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39427,Jake Osborn,0:07 when I play football me to the ever team,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:07']
39506,Nii-nii,I HEAR A KID AT 0:44,Ed_Sheeran-Thinking_Out_Loud,1,,hu,['0:44']
39509,Karla Karaban,Fun fact: Harry Styles is a supporting vocal from 2:30 to 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39528,William Lee,1:14 I just wanna tell you I am... so horny nooooow...,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:14']
39560,Sophie Jeffries,The support vocals 2:30 through 3:50 are Harry styles for anyone wondering 😂,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39601,Shen Wolf,2:09 Is tHaT a JOjO ReFeRenCE?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:09']
39665,Anna Marie,"just found out that Harry Styles is the supporting vocal from 2:40-3:05. Listen carefully, if you know his voice you can hear him.",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:40', '3:05']"
39679,Wulan Vani,Do you hear it? In 00:45 There is a child's voice,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
39719,Khyla Shaw,If you listen closely at 2:30.  ->    3:50 you can hear Harry styles singing in the background as the supporting vocals,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39729,Laudiceia Silva,"Trabalhe em casa e obtenha  lucro extra.
Trabalhe  em um sistema home Office.
Mais informações: 11984950850 ZAP e Mensseger.
Email: laudiceiasilvafofinha@gmail.com
Atendimento: seg a sex  das 8:00 as 21:00 hs.",Ed_Sheeran-Thinking_Out_Loud,1,,pt,"['8:00', '21:00']"
39759,sang penemu Copycat :v,Ada suara anak kecil di detik 00:45 pas bilang hurt,Ed_Sheeran-Thinking_Out_Loud,1,,id,['00:45']
39792,WuZen Rose,"Why i'm hearing a kid voice following Ed Shereen's voice when he said ""heart"" at 0:46 ? Is it just me? 🤔",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:46']
39854,maya lch1,"Harry is on vocal support from 2:30 to 3:50







You'll thank me later
Have a good day
M",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39904,Ferry Nugs,"0:45 ""hearth""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39930,RDM,Why is there a strange noise at 0:45 when the heart lyrics,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39936,Ximena Quintanilla,2:30-3:50 Harry styles? 👀👀😂,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39939,Jazlyn Webster,Why do I hear Harry at like 2:30 - 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
39960,Fath,Try to listen at 0:45 there will be a child's voice,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
39964,Agung Triharyadi,0:44-0:45 ????? WTF,Ed_Sheeran-Thinking_Out_Loud,1,,sw,"['0:44', '0:45']"
40032,𝕏𝕖𝕟𝕫𝕠,"0:45

The ""heart"" part of the lyrics

listen closely
There is a sound of a boy
That also sings ed sheeran's lyrics",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40035,juliana Majin,2:39 harry styles,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:39']
40089,FondestZebra,2:06-2:10 That's so cute,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:06', '2:10']"
40100,Sweet creature,2:30 to 3:54 Harry styles is in as a  supportin singer okay now I am crying 😭😭😭,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:54']"
40136,Anna Marie,0:45 Who remembers this making many theories and all HAHAHAHA,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40165,Skinny,When you realise it's Harry Styles' supporting vocals from 2:30 - 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40194,Brainey Tamrakar,Did you know Harry Styles sings the background vocals from 2:30 - 3:30,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:30']"
40227,Myra Mittal,It's actually harry styles in the background vocals from 2:30 to 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40289,amina,2:30 is that...? harry? styles? hazza???,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:30']
40292,Brixton Herlione,This song hits 5 years ago and still i hear that stupid kid saying heart on 0:45,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40300,Lindsey Steiskal,Harry styles is the supporting vocalist in the background from 2:35 - 3:05,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:35', '3:05']"
40309,Kaylani Woodson,Harry Styles is the supporting vocal from 2:30-3:50 ITS HAZ,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40313,Rekha Jeevananthan,"apparently the backing vocals from 2:30 - 3:50 are harry styles. 


AND I HEAR IT",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40316,Maria Khan,Is it true that Harry Styles is the supporting vocal from 2:30 to 2:50?,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '2:50']"
40341,Vanessa Tolea,Don’t forget that Harry Styles is the vocal support from 2:30 to 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40342,Juli 222,Omg I just read that the supporting vocals starting in 2:30 is HARRY FUCKING STYLES,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:30']
40344,Kels O,Who else thinks they can hear Harry Styles at 2:40 ?? My friend keeps saying she can.,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:40']
40347,Joana Lopes,Aint just me that just heard Harry styles 2:30 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40353,Luisa Santos,i just fond out something.   2:30  to  3:40   Harry Styles sings the background voices     wtfff,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:40']"
40358,Aninkol,I LOVE THIS😭❤❤ also I heard that Harry Styles sings in 2:30 - 3:50 but idk if it's true,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40376,Haziq,If you listen to 0:45 you can hear a girl voice at the end of “heart”,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40404,Brod13_004 !,When you get hit by a car 0:08,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:08']
40423,Jetti Angas,When you hear the creepy 2nd voice at 0:43 😂,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
40425,Rifqi Saiful Ramadhan,0:45 ad sura,Ed_Sheeran-Thinking_Out_Loud,1,,id,['0:45']
40460,biasalah,0:45 sry guys just trying to hear the girl,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40464,Tatin Setting,in the 0:45  there was a child's voice,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40473,Patrick Vyto Pardamean Simbolon,listen closely 2 0:45 theres something sound like a kiddo,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40518,Ini Meyzuna,00:45 Heart👻😂😂😂😂,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
40540,az,0:08 yoon bum 🤭🤭,Ed_Sheeran-Thinking_Out_Loud,1,,tl,['0:08']
40566,Damia Radzwan,Try to listen at 0:45 . U will listen to a little girl voice😖,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40615,elise,Fun fact: Harry Styles did the backup vocals at 2:30 from 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
40624,Harra Zy,0:45  -Did anyone notice this creepy voice of a kid? 😱😱😱,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40671,hasby,2:08 always my fv part,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:08']
40701,Abby,"Did you know





Harry styles is the supporting vocal from 2:30 to 3:30",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:30']"
40709,L0597x,2:12 How I run when I ask my mom for money and she says 'get me my purse',Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:12']
40740,CrIsP GG,0:09.    When he gets hit by a car,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:09']
40757,2011Dobi Zaujati,0:45 have someone horror kid sing this song..listen!,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
40872,iDrxpYBU,😂😂 0:22 will yo mouth Remember the  taste of  dez nutz,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:22']
40984,Sarah Albrecht,Just saying Harry Styles is the supportive voice from 2:30 to 3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
41048,hi,"0:43 when he said ""heart"" some kid voice said it with him",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:43']
41058,Nadia _kkyu,00:45 I heard a child singing along saying * heart *,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
41092,Hope is jhope,"On 0:45 listen to it carefully and you can hear a voice of a girl singing along with the part ""heart"" it really creeps me out people back then say its a voice from a ghost",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41097,ケイン池谷,"3:03
Dobevina!!!",Ed_Sheeran-Thinking_Out_Loud,1,,sl,['3:03']
41107,Layla Alexandra,Does anyone know that Harry is like singing faintly in 2:30 - 3:50 ?? I'm pretty sure! 😭,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
41122,Luiz Davi A. D.,"0:36 my eyes boy, my eyes !!!!!",Ed_Sheeran-Thinking_Out_Loud,1,,tr,['0:36']
41142,Gagak Rimba,Who the fck 00:45,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
41162,arifa zahro,at 0:45 there's a child saying heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41194,Gian Schnapp,0:45 when i was young i knew this song already and there was a female voice,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41287,Carolyn H,"2:09 I don't know why, but I find it so incredibly sexy when he strums on her leg...:) oh hell, I find everything about him sexy in this video lol",Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:09']
41310,eylou,"0:45 Listen Carefully


You can hear an other voice saying 
""Heart""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41314,magstrd,00:45 HEAR A GIRL SOUND,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
41323,Patrick Xravis,"0:45
Ghost sound?
I hear like a children voice",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41336,Syifa Aaliyah Octayeda,At 0:45 I heard a voice that followed ed as he sang the word heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41372,Arif Hidayatullah,"0:45 ?? Any Sound ? ""HURRRT""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41414,Nelson Sotto,"0:45 there was a loud song say (""Heart"") it is a ghost???",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41423,Salty Justice,"Guys skip to 0:44 and you can hear a kid saying ""heart"" silently.",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
41440,Nameless,For peaple came here bacause of the echo 0:44,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
41478,v k,at 2:40 harry styles is doing the background vocals :),Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:40']
41528,Jack Smith,"During Dangerous  Covid-19.......


Thinking Out Loud
0:35 ━❍──────── -4:56

↻     ⊲  Ⅱ  ⊳     ↺
VOLUME: ▁▂▃▄▅▆▇ 100%",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:35', '4:56']"
41583,Lydia Mariana,I heard someone's voice say heart at minutes 00:45,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
41598,Nyah Nicole Balana,0:45 still in my mind that Heart thing lol I still love this songgg❤,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41745,sahi daisuki,3:40 similar to apink dumhdurum iconic hand dance😁,Ed_Sheeran-Thinking_Out_Loud,1,,en,['3:40']
41766,Filo,"i still remember the ""ghost voice"" they say at 0:44",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
41854,Wiktoria Wajs,2:30 - 3:50 Harry Styles support vocal,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
41893,Edu Chávez,2:07 Is that a Jojo reference!?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['2:07']
41957,lana chang,did someone notice the supporting vocal from 2:30 to 3:50 is Harry???Pinterest told me😍😍,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
41967,Anna Official,Ladies and gentlemen 2:30-3:50 Harry Edward Styles 😂❤️,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
41983,Lee Felix,0:45 that kid's voice who sang after him never gets old.,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
41984,D B,"0:40 Ed gets caught peeking.  ""My eyes are up here, pal.""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:40']
41988,rara mutia,"0:45 if you listen closely theres a kid who repeats the word ""heart""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42003,Baylee Gammon,Fun fact Harry Styles is the one doing background vocals from 2:30-3:50,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['2:30', '3:50']"
42103,Charles Jerome Sta Ana,"Who came here to check the ghost in 0:45? The ""hart"" sounds HAHAHHA",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42142,"OLAVIDES, JOHN QUINEX G.",0:44 you can hear a little girl said HART/HEART,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
42161,Govin Black Shadow,0:45 heart..,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42166,Mark Ignacio,0:44 that's a second voice,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
42170,Katrina Uwega,"00:45 ""heart""
That f*cking creepy 😭",Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
42175,Prior Raptor,I have a goosebumps on the part 0:48,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:48']
42178,Jerzy Somoba,"OMG GUYS IN 0:45 WHEN ED SHEERAN SAID ""HEART"" YOU WILL HEAR A VOICE OF A GIRL ALSO SAYING ""HEART""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42179,🌸 Izuminchi 🌸,"at 0:45 slow it to 0.75x you can hear a child singing along the word ""heart""",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42181,Kulingling Puking,0:45 I heard something creepy I think there was child🤯,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42184,Vash Plays,"0:45

Little girl voice",Ed_Sheeran-Thinking_Out_Loud,1,,it,['0:45']
42185,godkingaxiel,Am I the only one came here after someone's talking about the kid sings with Ed Sheeran at 0:45?,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42196,Arwhyn Abello,"No one:..

Literally no one:..

The unknown kid:..Hart..

0:45",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42219,kash,0:45 still myterious,Ed_Sheeran-Thinking_Out_Loud,1,,fi,['0:45']
42222,Fedagro,I here because of 0:45 creepy kid saying heart,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42225,Franz Yuan,0:44 Hart by someones daughter lol,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
42227,Chel,0:45 creepy,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42228,Carlfrancis Alburo,"I know its quarantine but did you guys forget about the kid who said ""heart"" in 0:45 HAHAHA",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42230,scyzr,0:45 What????,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42233,ganyulover,0:45 *heart*,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42237,Okento Okento,"No one :
Like literally no one
Kid at 0:45 : *H E A R T*",Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42238,jenjoo,0:45 heart... omg.,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42253,Nameless,Hear this closely 00:45 Do you hear it?It sound like a ghost or something repeating the lyric!,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
42307,Vilas Dandkar,4:57 minutes of happiness,Ed_Sheeran-Thinking_Out_Loud,1,,en,['4:57']
42316,Qpc Marketing Bali,0:45 that kid voice🤯😱,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42322,Roudotul Jannah,Gegara nadia omara aku puter 0:45,Ed_Sheeran-Thinking_Out_Loud,1,,id,['0:45']
42360,DUO KAYU,00:45 heart creepy sound child,Ed_Sheeran-Thinking_Out_Loud,1,,en,['00:45']
42436,Twilight Of Equinox,0:45 Still can't get over to this mysterious little kid voice,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
42443,Pj Agon,0:44 SCARY,Ed_Sheeran-Thinking_Out_Loud,1,,de,['0:44']
42450,Shiriki,0:45 please listen carefully😱it so creepy guyss,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
